Designator,Mid X,Mid Y,Rotation,Layer
A1,175.312,-110.856,90,top
C1,129.845,-75.8005,90,top
C2,119.685,-115.819,0,top
C3,150.673,-98.801,-90,top
C4,157.15,-105.786,0,top
C5,154.737,-85.466,0,top
C6,157.404,-96.896,-90,top
C7,162.738,-90.8,-90,top
C8,143.942,-111.792,-90,top
C9,143.942,-115.094,90,top
D1,134.544,-99.309,180,top
D2,207.061,-44.351,-90,top
D3,207.061,-70.894,-90,top
FH1,133.02,-58.669,0,top
FH2,113.716,-90.292,0,top
HeatSink1,182.6145,-82.164,0,top
HeatSink2,182.3605,-55.494,0,top
J1,116.7155,-69.464,-90,top
J2,108.255,-104.897,-90,top
J3,219.127,-55.875,90,top
J4,219.507,-81.529,90,top
K1,147.425,-51.176,180,top
K2,147.806,-76.576,180,top
L1,141.91,-99.436,0,top
Q1,179.8205,-59.868,0,top
Q2,179.9475,-86.538,0,top
R1,119.812,-112.009,90,top
R2,160.96,-108.326,-90,top
R3,155.753,-96.896,-90,top
R4,155.753,-100.325,-90,top
U1,127.686,-112.009,180,top
U2,135.687,-89.53,0,top
U3,157.785,-89.403,0,top
U4,153.34,-112.771,0,top
X1,140.132,-115.856,90,top
